ID,DATE,CURRENCY,"PX_LAST(dates=RANGE(2010-01-01,2022-03-01))"
IOIPG MK Equity,2016-05-17,MYR,2.07026956
IOIPG MK Equity,2016-05-18,MYR,2.05170212
IOIPG MK Equity,2016-05-19,MYR,2.088837
IOIPG MK Equity,2016-05-20,MYR,2.088837
IOIPG MK Equity,2016-05-21,MYR,
IOIPG MK Equity,2016-05-22,MYR,
IOIPG MK Equity,2016-05-23,MYR,2.1352556
IOIPG MK Equity,2016-05-24,MYR,2.0795532800000003
IOIPG MK Equity,2016-05-25,MYR,2.0795532800000003
IOIPG MK Equity,2016-05-26,MYR,2.0795532800000003
IOIPG MK Equity,2016-05-27,MYR,2.088837
IOIPG MK Equity,2016-05-28,MYR,
IOIPG MK Equity,2016-05-29,MYR,
IOIPG MK Equity,2016-05-30,MYR,2.088837
IOIPG MK Equity,2016-05-31,MYR,2.25594396
IOIPG MK Equity,2016-06-01,MYR,2.15382304
IOIPG MK Equity,2016-06-02,MYR,2.1352556
IOIPG MK Equity,2016-06-03,MYR,2.14453932
IOIPG MK Equity,2016-06-04,MYR,
IOIPG MK Equity,2016-06-05,MYR,
IOIPG MK Equity,2016-06-06,MYR,2.14453932
IOIPG MK Equity,2016-06-07,MYR,2.16310676
IOIPG MK Equity,2016-06-08,MYR,2.16310676
IOIPG MK Equity,2016-06-09,MYR,2.1352556
IOIPG MK Equity,2016-06-10,MYR,2.12597188
IOIPG MK Equity,2016-06-11,MYR,
IOIPG MK Equity,2016-06-12,MYR,
IOIPG MK Equity,2016-06-13,MYR,2.15382304
IOIPG MK Equity,2016-06-14,MYR,2.1816742000000002
IOIPG MK Equity,2016-06-15,MYR,2.15382304
IOIPG MK Equity,2016-06-16,MYR,2.17239048
IOIPG MK Equity,2016-06-17,MYR,2.15382304
IOIPG MK Equity,2016-06-18,MYR,
IOIPG MK Equity,2016-06-19,MYR,
IOIPG MK Equity,2016-06-20,MYR,2.17239048
IOIPG MK Equity,2016-06-21,MYR,2.1816742000000002
IOIPG MK Equity,2016-06-22,MYR,
IOIPG MK Equity,2016-06-23,MYR,2.1816742000000002
IOIPG MK Equity,2016-06-24,MYR,2.16310676
IOIPG MK Equity,2016-06-25,MYR,
IOIPG MK Equity,2016-06-26,MYR,
IOIPG MK Equity,2016-06-27,MYR,2.09812072
IOIPG MK Equity,2016-06-28,MYR,2.1352556
IOIPG MK Equity,2016-06-29,MYR,2.14453932
IOIPG MK Equity,2016-06-30,MYR,2.1816742000000002
IOIPG MK Equity,2016-07-01,MYR,2.1816742000000002
IOIPG MK Equity,2016-07-02,MYR,
IOIPG MK Equity,2016-07-03,MYR,
IOIPG MK Equity,2016-07-04,MYR,2.1352556
IOIPG MK Equity,2016-07-05,MYR,2.19095792
IOIPG MK Equity,2016-07-06,MYR,
IOIPG MK Equity,2016-07-07,MYR,
IOIPG MK Equity,2016-07-08,MYR,2.16310676
IOIPG MK Equity,2016-07-09,MYR,
IOIPG MK Equity,2016-07-10,MYR,
IOIPG MK Equity,2016-07-11,MYR,2.1816742000000002
IOIPG MK Equity,2016-07-12,MYR,2.1816742000000002
IOIPG MK Equity,2016-07-13,MYR,2.3023625599999997
IOIPG MK Equity,2016-07-14,MYR,2.3209299999999997
IOIPG MK Equity,2016-07-15,MYR,2.2745114
IOIPG MK Equity,2016-07-16,MYR,
IOIPG MK Equity,2016-07-17,MYR,
IOIPG MK Equity,2016-07-18,MYR,2.2745114
IOIPG MK Equity,2016-07-19,MYR,2.2466602399999998
IOIPG MK Equity,2016-07-20,MYR,2.2280927999999998
IOIPG MK Equity,2016-07-21,MYR,2.2280927999999998
IOIPG MK Equity,2016-07-22,MYR,2.2466602399999998
IOIPG MK Equity,2016-07-23,MYR,
IOIPG MK Equity,2016-07-24,MYR,
IOIPG MK Equity,2016-07-25,MYR,2.21880908
IOIPG MK Equity,2016-07-26,MYR,2.2095253599999998
IOIPG MK Equity,2016-07-27,MYR,2.21880908
IOIPG MK Equity,2016-07-28,MYR,2.2280927999999998
IOIPG MK Equity,2016-07-29,MYR,2.19095792
IOIPG MK Equity,2016-07-30,MYR,
IOIPG MK Equity,2016-07-31,MYR,
IOIPG MK Equity,2016-08-01,MYR,2.2280927999999998
IOIPG MK Equity,2016-08-02,MYR,2.21880908
IOIPG MK Equity,2016-08-03,MYR,2.2280927999999998
IOIPG MK Equity,2016-08-04,MYR,2.2280927999999998
IOIPG MK Equity,2016-08-05,MYR,2.29307884
IOIPG MK Equity,2016-08-06,MYR,
IOIPG MK Equity,2016-08-07,MYR,
IOIPG MK Equity,2016-08-08,MYR,2.2280927999999998
IOIPG MK Equity,2016-08-09,MYR,2.2466602399999998
IOIPG MK Equity,2016-08-10,MYR,2.2466602399999998
IOIPG MK Equity,2016-08-11,MYR,2.2280927999999998
IOIPG MK Equity,2016-08-12,MYR,2.2466602399999998
IOIPG MK Equity,2016-08-13,MYR,
IOIPG MK Equity,2016-08-14,MYR,
